,GHI,DHI,DNI,DryBulb,Wspd,zenith,azimuth,elevation,trackingdata_surface_tilt,trackingdata_surface_azimuth,C,D
1999-07-27 09:30:00-07:00,766.0,0.0,831.0,29.0,2.1,0.5963081334794889,2.0522799749421603,0.9744881933154078,31.02964076773287,90.0,0.14225927826781698,0.6430992581145156
1999-07-27 10:30:00-07:00,877.0,0.0,838.0,30.0,2.5,0.4384720900402685,2.4429356092246985,1.1323242367546282,16.783396387724707,90.00000147877934,0.25562281730242276,0.5425967848052516
1999-07-27 11:30:00-07:00,869.0,0.0,433.0,30.0,2.7,0.3596894924390608,3.056944027349469,1.2111068343558358,1.821047354380017,90.0,0.38411103933979346,0.5005050456772913
1999-07-27 12:30:00-07:00,593.0,0.0,113.0,30.0,2.9000000000000004,0.40997596527631486,3.7131361993125798,1.1608203615185817,13.229437820500735,270.0,0.2855744739860364,0.5265385493067992
1999-07-27 13:30:00-07:00,801.0,0.0,410.0,29.0,2.8000000000000003,0.5547193526870068,4.1525853527047225,1.0160769741078899,27.701209937671116,270.0,0.16756962858556243,0.6146161906966073
1999-07-27 14:30:00-07:00,279.0,0.0,18.0,28.0,2.5,0.7387362545904189,4.4296308363011985,0.8320600722044776,41.173187672905414,270.0,0.0708313573107357,0.7472769309497485
1999-07-27 15:30:00-07:00,78.0,0.0,0.0,27.0,2.0,0.9366605033397563,4.63032202545518,0.6341358234551404,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-27 16:30:00-07:00,60.0,0.0,0.0,25.0,1.4,1.1378683780486039,4.797864992892059,0.43292794874629287,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-27 17:30:00-07:00,15.0,0.0,0.0,24.0,0.8,1.3364112636150598,4.9542296041646,0.23438506317983676,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-07-27 18:30:00-07:00,19.0,0.0,0.0,22.0,0.7000000000000001,1.527401597848629,5.113092926689863,0.04339472894626743,50.0,270.0,0.016977778440511015,0.8572123903134606
